SP,RP,SRP,LRP,FHP,BHP,RANK,RANKDIFF,SA,SRA,FHA,BALANCE,WON,Player ID
0.607,0.393,0.25,0.75,0.821,0.179,288,1.506807981512467,0.2139999999999999,-0.5,0.6419999999999999,0.7305825242718447,-1.0,19
0.526,0.474,0.21,0.79,0.421,0.579,30,-0.13544341406853636,0.052,-0.5800000000000001,-0.1579999999999999,0.38713592233009714,-1.0,14
0.515,0.485,0.333,0.667,0.424,0.576,54,0.13544341406853636,0.03,-0.334,-0.1519999999999999,0.22087378640776706,1.0,32
0.56,0.44,0.268,0.732,0.55,0.45,19,-0.17494774317185946,0.12,-0.4639999999999999,0.1,0.32281553398058266,-1.0,25
0.52,0.48,0.416,0.584,0.645,0.355,50,0.17494774317185946,0.04,-0.1679999999999999,0.29,0.20995145631067974,1.0,29
0.588,0.412,0.372,0.628,0.64,0.36,360,1.873633894614753,0.176,-0.256,0.28,0.3398058252427185,1.0,27
0.644,0.356,0.466,0.534,0.622,0.378,28,-1.873633894614753,0.288,-0.068,0.244,0.27184466019417486,-1.0,41
0.64,0.36,0.48,0.52,0.6,0.4,149,0.750582252963139,0.28,-0.04,0.1999999999999999,0.22330097087378648,-1.0,34
0.604,0.396,0.418,0.582,0.627,0.373,16,-0.750582252963139,0.2079999999999999,-0.1639999999999999,0.254,0.28762135922330095,1.0,43
0.558,0.442,0.395,0.605,0.697,0.303,42,-0.9368169473073765,0.116,-0.2099999999999999,0.3939999999999999,0.34466019417475735,1.0,16
0.58,0.42,0.322,0.678,0.677,0.323,208,0.9368169473073765,0.1599999999999999,-0.356,0.354,0.4356796116504855,-1.0,38
0.633,0.367,0.633,0.367,0.62,0.38,204,0.0,0.266,0.266,0.24,0.37621359223300976,-1.0,18
0.609,0.391,0.487,0.513,0.034,0.966,181,0.0,0.2179999999999999,-0.026,-0.932,0.6213592233009708,1.0,50
0.481,0.519,0.259,0.741,0.444,0.556,109,0.28217377930945076,-0.038,-0.482,-0.112,0.29126213592233025,-1.0,51
0.457,0.543,0.314,0.686,0.529,0.471,59,-0.28217377930945076,-0.086,-0.372,0.058,0.22087378640776706,1.0,47
0.535,0.465,0.321,0.679,0.535,0.465,208,0.8408778623421632,0.07,-0.358,0.07,0.20995145631067974,-1.0,38
0.523,0.477,0.428,0.572,0.78,0.22,59,-0.8408778623421632,0.046,-0.1439999999999999,0.56,0.36286407766990303,1.0,47
0.484,0.516,0.272,0.728,0.545,0.455,25,-0.35553896192990797,-0.032,-0.4559999999999999,0.09,0.25849514563106796,1.0,10
0.521,0.479,0.347,0.653,0.863,0.137,88,0.35553896192990797,0.042,-0.306,0.726,0.5594660194174759,-1.0,21
0.522,0.478,0.25,0.75,0.477,0.523,17,-1.529381883857223,0.044,-0.5,-0.046,0.2657766990291262,1.0,43
0.581,0.419,0.465,0.535,0.761,0.239,288,1.529381883857223,0.1619999999999999,-0.07,0.522,0.3652912621359224,-1.0,19
0.606,0.394,0.303,0.697,0.666,0.334,44,-1.117408166065425,0.2119999999999999,-0.3939999999999999,0.332,0.47694174757281554,1.0,22
0.619,0.381,0.38,0.62,0.714,0.286,242,1.117408166065425,0.238,-0.24,0.428,0.4575242718446603,-1.0,35
0.628,0.372,0.342,0.658,0.6,0.4,55,0.19187816993042653,0.256,-0.316,0.1999999999999999,0.37621359223300976,-1.0,26
0.615,0.385,0.384,0.616,0.794,0.206,21,-0.19187816993042653,0.2299999999999999,-0.2319999999999999,0.5880000000000001,0.5449029126213594,1.0,28
0.568,0.432,0.409,0.591,0.727,0.273,142,0.0,0.1359999999999999,-0.182,0.4539999999999999,0.37621359223300976,-1.0,52
0.577,0.423,0.311,0.689,0.75,0.25,143,0.0,0.1539999999999999,-0.3779999999999999,0.5,0.5339805825242719,1.0,31
0.51,0.49,0.361,0.639,0.659,0.341,44,0.12979993848234736,0.02,-0.278,0.318,0.28155339805825247,1.0,22
0.487,0.513,0.487,0.513,0.825,0.175,21,-0.12979993848234736,-0.026,-0.026,0.6499999999999999,0.3337378640776698,-1.0,28
0.515,0.485,0.575,0.425,0.531,0.469,276,1.1964168242720712,0.03,0.1499999999999999,0.062,0.054611650485436876,1.0,48
0.523,0.477,0.571,0.429,0.666,0.334,64,-1.1964168242720712,0.046,0.1419999999999999,0.332,0.22330097087378648,-1.0,40
0.571,0.429,0.285,0.715,0.571,0.429,54,-0.04514780468951212,0.1419999999999999,-0.43,0.1419999999999999,0.34101941747572806,-1.0,32
0.555,0.445,0.305,0.695,0.542,0.458,62,0.04514780468951212,0.11,-0.3899999999999999,0.084,0.2621359223300971,1.0,20
0.5,0.5,0.3,0.7,0.775,0.225,10,-0.378112864274664,0.0,-0.3999999999999999,0.55,0.4842233009708738,1.0,4
0.5,0.5,0.227,0.773,0.59,0.41,77,0.378112864274664,0.0,-0.546,0.18,0.3483009708737865,-1.0,44
0.542,0.458,0.371,0.629,0.714,0.286,50,-0.06772170703426818,0.084,-0.258,0.428,0.375,1.0,29
0.619,0.381,0.428,0.572,0.714,0.286,62,0.06772170703426818,0.238,-0.1439999999999999,0.428,0.3992718446601941,-1.0,20
0.568,0.432,0.318,0.682,0.636,0.364,30,-1.2133472510306382,0.1359999999999999,-0.364,0.272,0.37621359223300976,1.0,14
0.642,0.358,0.321,0.679,0.642,0.358,245,1.2133472510306382,0.284,-0.358,0.284,0.4696601941747575,-1.0,53
0.478,0.522,0.391,0.609,0.695,0.305,490,2.302538039165118,-0.044,-0.2179999999999999,0.3899999999999999,0.3033980582524272,-1.0,23
0.484,0.516,0.333,0.667,0.515,0.485,82,-2.302538039165118,-0.032,-0.334,0.03,0.14805825242718457,1.0,54
